gene,BF_hpaf,BF_patu,BF_aspc,BF_dld,BF_gbm,BF_hct,BF_hela,BF_rpe,panc.mean,nonpanc.mean,zPanc_vs_other
GTDC2,-0.45,-0.42,-1.07,-0.26,-1.05,-0.58,-1.53,-0.19,-0.65,-0.72,0.37
GXYLT2,-0.74,0.02,-0.08,-0.75,-1.07,0.3,-0.06,-0.39,-0.27,-0.39,0.37
HOXD12,-0.37,-0.32,-0.3,-0.37,0.09,-0.38,-1.16,-0.42,-0.33,-0.45,0.37
IGFLR1,-0.94,-0.03,-0.05,-0.62,0.46,-0.78,-1.14,-0.2,-0.34,-0.46,0.37
JAM3,-1.04,-0.67,-1.39,-0.87,-1.17,-1.23,-1.11,-0.93,-1.03,-1.06,0.37
JMJD7,-0.76,0.65,0.06,0.16,-0.88,0.47,0.18,-0.8,-0.02,-0.18,0.37
KHSRP,0.51,1.94,-1.08,1.34,-1.04,0.16,-0.84,1.57,0.46,0.24,0.37
KPNA3,-0.83,0.08,0.31,-0.76,-0.7,0.29,-0.62,0.35,-0.15,-0.28,0.37
LCP2,0.09,-0.55,-0.4,-0.46,-0.87,-0.3,-0.04,-0.38,-0.29,-0.41,0.37
LEPR,-0.95,-1.08,-1.12,-0.65,-0.88,-1.23,-1.66,-0.96,-1.05,-1.08,0.37
LRRC3B,0.59,-0.03,0.7,0.12,0.38,0.33,-0.02,0.23,0.42,0.21,0.37
LRRD1,0.11,0.02,0.48,-0.09,0.37,-0.29,0.52,-0.43,0.2,0.01,0.37
LY9,-0.12,-0.44,-0.38,-0.92,-0.34,-0.26,-0.32,-0.32,-0.31,-0.43,0.37
MAPK4,-1.35,-0.8,-0.35,-0.84,-1,-1.16,-1.2,-0.24,-0.84,-0.89,0.37
MED21,0.84,0.68,-0.13,0.79,0.28,0.08,0.31,-0.24,0.46,0.24,0.37
MGST1,0.29,0.25,0.5,0.19,0.19,0.23,-0.02,0.12,0.35,0.14,0.37
MMP20,-0.19,-1.02,-1.23,-0.82,-0.8,-0.42,-1.05,-1.25,-0.81,-0.87,0.37
MUM1,0.27,0.57,0.24,0.28,0.22,-0.07,0.15,0.17,0.36,0.15,0.37
MYADML2,0.76,0.11,0.2,0.07,0.1,-0.24,0.6,0.22,0.36,0.15,0.37
MYH2,-0.67,-0.83,-1.11,-0.77,-0.92,-1.07,-0.96,-0.86,-0.87,-0.92,0.37
MYH9,0.32,3.72,-0.47,2.08,1.75,-0.64,0.46,0.74,1.19,0.88,0.37
NIPAL3,-0.99,-1.2,-0.31,-0.72,-1.02,-0.47,-1.25,-0.96,-0.83,-0.89,0.37
NXT2,-0.23,-0.05,-0.26,-0.07,-0.34,-0.78,-0.46,0.06,-0.18,-0.32,0.37
OR10J1,0.12,-0.07,-0.17,0.15,-0.13,-0.22,-0.54,-0.24,-0.04,-0.2,0.37
OR10Q1,-0.37,-0.38,-0.26,-0.62,-0.39,-0.19,-0.67,-0.4,-0.34,-0.45,0.37
OR2L13,-0.16,-0.16,-0.65,-0.37,-0.34,-0.46,-0.7,-0.33,-0.32,-0.44,0.37
PLCH2,-1.29,-1.04,-0.41,-0.71,-0.88,-1.02,-1.15,-1.02,-0.92,-0.96,0.37
PPARGC1B,-0.8,-0.08,-0.21,0.09,-0.84,-0.17,-0.13,-1.33,-0.36,-0.48,0.37
PTPN22,-0.8,-0.78,-0.74,-0.69,-0.76,-0.7,-0.71,-1.3,-0.77,-0.83,0.37
RB1,-0.45,-0.06,-0.69,-0.17,-0.7,0.04,-1.12,-0.59,-0.4,-0.51,0.37
RHOG,0.08,-0.66,0.7,-0.21,-0.8,-0.19,0.04,0.53,0.04,-0.13,0.37
RNLS,-1.02,-1.05,0.96,-0.26,-0.11,-0.98,-0.05,-1.03,-0.37,-0.48,0.37
SAMD9L,-0.38,-0.59,-0.89,-0.64,-0.32,-0.93,-0.75,-0.86,-0.62,-0.7,0.37
SAT2,0.28,-0.64,-0.52,-0.98,0.53,-0.32,-1.41,0.11,-0.29,-0.42,0.37
SH3YL1,-0.81,-0.68,0.18,-0.4,-0.9,-0.66,-0.47,-0.26,-0.43,-0.54,0.37
SIX2,0.66,-0.41,-0.37,-0.22,0.06,-0.78,-0.45,0.42,-0.04,-0.19,0.37
SLC22A18AS,-0.31,0.04,0.1,-0.1,-0.4,-0.28,0.24,-0.5,-0.06,-0.21,0.37
SMAGP,0.49,-0.29,-1.17,-0.23,-0.39,-0.57,-0.7,-0.3,-0.32,-0.44,0.37
SMC1B,-0.89,-0.39,-0.66,-0.72,-0.46,-0.72,-0.91,-0.8,-0.65,-0.72,0.37
SMIM3,0.81,0.48,1.08,0.54,0.34,0.52,0.86,0.39,0.79,0.53,0.37
SOBP,-0.84,-1.27,0.18,-0.43,-1.09,-0.44,-1.28,-0.34,-0.64,-0.72,0.37
SPRR3,-0.02,0.33,0.37,0.1,0.05,0.15,-0.25,0.15,0.23,0.04,0.37
TAF6L,0.24,1.99,2.16,1.28,2,1.62,1.63,-0.95,1.46,1.12,0.37
TCF25,0.49,-0.45,-0.05,0,-0.92,-0.73,0.34,0.48,-0.01,-0.16,0.37
TM2D1,0.06,-0.54,0.12,-0.31,-0.09,-0.84,-0.37,0.27,-0.12,-0.27,0.37
TMEM102,-0.13,-0.67,0.02,-0.51,-0.52,0.31,-0.34,-0.86,-0.26,-0.38,0.37
UBE2J1,0.34,-0.01,-1.27,-0.03,-0.2,-0.78,-0.27,-0.88,-0.31,-0.43,0.37
VAMP2,0.15,-0.02,-0.17,-0.02,-0.06,-0.18,-0.59,0,-0.01,-0.17,0.37
ZFP62,0,-0.59,0.15,-0.12,0.08,-0.56,-0.48,-0.35,-0.14,-0.29,0.37
ZGPAT,-0.6,-0.7,-0.15,-0.31,-0.51,-1.09,0.5,-1.52,-0.48,-0.58,0.37
ABCD4,-0.23,0.71,-1.31,-0.65,0.54,-0.7,-0.28,-0.92,-0.28,-0.4,0.36
ACVR1C,-0.71,-0.76,-0.04,-0.51,-1.09,-0.36,-0.82,-0.2,-0.51,-0.6,0.36
BMX,-1.18,-0.51,-0.91,-0.14,-1.01,-1.22,-1.41,-0.78,-0.87,-0.91,0.36
C16orf58,-1.4,-0.48,-0.63,-0.15,-1.13,-0.78,-1.76,-0.58,-0.83,-0.88,0.36
C1orf222,-0.11,0.16,0.12,-0.02,-0.13,-0.17,-0.17,-0.05,0.05,-0.11,0.36
C5orf46,0.57,0.37,0.15,0.39,0.2,0.18,0,0.06,0.37,0.16,0.36
C9orf43,-0.89,-0.55,0.17,-0.48,-1,-0.35,-0.49,-0.31,-0.43,-0.53,0.36
CA2,-0.15,-0.66,-1.32,-0.15,-0.89,-0.87,-0.88,-1.08,-0.71,-0.78,0.36
CACFD1,-0.37,1.24,-1.08,-0.29,-0.97,-0.33,0.51,-0.01,-0.07,-0.22,0.36
CAV3,0.13,-0.49,-0.81,-0.47,-0.58,-0.24,-0.88,-0.31,-0.39,-0.5,0.36
CCDC28B,-0.87,-0.73,-0.24,-0.39,-0.96,-0.95,-1.13,-0.02,-0.61,-0.69,0.36
CD248,-0.3,-0.02,0.15,0.34,-0.05,-0.42,-0.19,-0.7,-0.06,-0.2,0.36
CITED2,0.63,0.61,1.58,0.97,1.1,0.58,0.15,0.5,0.94,0.66,0.36
CLN5,-0.22,-0.16,-1.47,-0.77,-0.7,-0.33,-1.01,-0.66,-0.62,-0.69,0.36
CSN2,0.6,0.85,0.5,0.43,0.35,0.43,0.49,0.35,0.65,0.41,0.36
CYP4X1,-1.19,-0.7,-0.44,-0.57,-0.98,-0.82,-0.93,-0.88,-0.78,-0.84,0.36
DNAJC17,0.51,1.72,-0.03,0.71,-0.46,0.76,0.41,0.99,0.73,0.48,0.36
ENOX1,0.03,0.07,-1.17,-0.25,-0.79,-0.69,-0.19,-0.43,-0.36,-0.47,0.36
F13B,-0.62,-0.39,-0.03,-0.9,-0.63,-0.73,0.26,-0.27,-0.34,-0.45,0.36
FABP1,-0.17,-0.17,-0.17,-0.38,-0.32,0.01,-0.48,-0.35,-0.17,-0.3,0.36
FAM43B,0.03,0.46,0.18,0.37,-0.18,0.27,-0.38,0.14,0.23,0.04,0.36
FAT2,-0.65,-0.45,-0.87,-0.92,-0.21,-0.68,-1.24,-0.59,-0.66,-0.73,0.36
GALNT3,-0.82,-0.77,-0.4,-0.48,-1.21,-0.6,-0.95,-0.44,-0.66,-0.74,0.36
GDF6,-0.9,-0.49,-1.16,-1.17,-0.37,-0.82,-1.31,-0.82,-0.85,-0.9,0.36
GHRL,0.7,0.03,0.53,-0.13,0.39,-0.19,0.56,0.43,0.42,0.21,0.36
GNGT2,-0.78,-1.12,-1,-1.09,-1.15,-0.35,-1.35,-1.05,-0.97,-1,0.36
H3F3B,0.82,1.15,0.45,0.3,0.72,0.01,0.26,1.44,0.81,0.55,0.36
HIST4H4,0.81,0.82,0.78,0.66,0.35,0.4,0.64,0.66,0.81,0.54,0.36
HOXA2,0.68,0.37,0.03,0.21,0.02,-0.41,0.93,0.03,0.36,0.16,0.36
ID4,-0.89,-0.69,-0.09,-0.32,-0.39,-0.84,-0.78,-0.86,-0.56,-0.64,0.36
IFNE,0.05,0.41,0.89,0.12,0.06,0.18,-0.17,0.98,0.45,0.23,0.36
KCNJ6,-1,-0.68,-0.34,-0.76,-0.8,-0.59,-0.82,-0.75,-0.67,-0.74,0.36
KIAA1456,0.16,-0.59,0.4,-0.79,-0.85,0.57,0.85,-0.58,-0.01,-0.16,0.36
KIAA1468,-0.03,-1.14,-0.2,-0.63,-0.95,-0.48,-0.02,-0.69,-0.46,-0.56,0.36
KIF5C,-0.58,-0.6,-1.77,-0.87,-0.57,-1.24,-1.07,-1.3,-0.98,-1.01,0.36
KIR2DL4,-0.13,0.05,0.39,-0.18,0.03,0.02,0.1,-0.31,0.1,-0.07,0.36
KRT71,-0.72,-0.26,-0.72,-0.4,-0.83,-0.85,-0.4,-0.76,-0.57,-0.65,0.36
MAPK8,-0.79,-0.67,-0.84,-0.79,-1.2,-0.65,-0.78,-0.69,-0.77,-0.82,0.36
MCAM,-0.78,-0.89,-0.68,-0.59,-1.21,-0.93,-0.66,-0.78,-0.78,-0.84,0.36
MRPL34,1.61,1.45,2.08,1.48,1.54,1.6,1.57,0.51,1.71,1.34,0.36
MTL5,0.13,0.26,-0.55,-0.44,0.69,-0.63,-0.56,-0.07,-0.05,-0.2,0.36
MUSK,0.44,0.48,-0.23,-0.71,-0.3,0.2,0.72,0.31,0.23,0.04,0.36
MYL5,-0.72,-0.66,-0.75,-0.8,-0.44,-1.22,-1.08,-0.32,-0.71,-0.77,0.36
NGF,-0.11,-0.21,-0.34,-0.17,-0.73,-0.25,0.13,-0.72,-0.22,-0.35,0.36
NKAIN3,-0.12,0.27,-0.61,0.18,-0.26,-0.2,-0.62,-0.56,-0.15,-0.29,0.36
NPR3,-1.19,-0.9,0,-0.53,-0.9,-1.31,-0.05,-1.02,-0.7,-0.76,0.36
NR4A2,-0.78,-0.64,-1.49,-1.08,-0.7,-1.08,-0.96,-1.2,-0.97,-1,0.36
OMG,0.62,0.64,-0.19,0.51,0.37,-0.03,-0.02,-0.02,0.36,0.16,0.36
OVCH1,0.24,-0.62,-0.82,-0.2,-0.95,-0.46,-0.9,-0.02,-0.4,-0.51,0.36
PAN3,-0.87,0.36,-0.64,-0.84,0.71,-0.19,-1.44,-0.7,-0.39,-0.49,0.36
PARP6,-0.34,0.09,0.51,0.1,-0.37,-0.42,-0.06,0.34,0.09,-0.08,0.36
PARP8,-1.22,-0.65,1.54,-0.52,0.01,-0.67,-0.67,0.6,-0.11,-0.25,0.36
PEX11A,-1.1,-1.02,-0.3,-0.73,-1.15,-1.15,-0.31,-0.94,-0.81,-0.86,0.36
PFN1,1.28,1.6,1.65,2.01,0.53,0.37,0.93,1.94,1.51,1.16,0.36
PLAA,-0.91,-1.07,0.69,-0.97,0.06,-0.72,-0.52,-0.49,-0.43,-0.53,0.36
PLEKHM3,-0.82,-0.86,-1.02,-0.9,-1,-0.49,-1.03,-1.28,-0.9,-0.94,0.36
RAC3,-0.01,0.38,0.03,0.06,-0.46,0.28,-0.05,-0.05,0.13,-0.04,0.36
RBM33,1.51,1.32,1.01,0.92,1,1.07,1.59,0.2,1.28,0.96,0.36
RELL2,-0.74,0.29,0.6,-0.09,-0.95,-0.16,0.11,0.54,0.05,-0.11,0.36
RNF133,-0.48,-0.68,-0.47,-0.82,-0.56,-0.45,-1.1,-0.19,-0.54,-0.63,0.36
RNF2,0.2,0.16,0.45,0.09,0.07,0.17,-0.08,0.16,0.27,0.08,0.36
RNF39,-0.66,-0.7,0.6,-0.37,-0.81,0.17,-0.89,0.01,-0.25,-0.38,0.36
S100A13,0.18,-0.05,0.59,-0.43,-0.11,0.56,0.45,-0.21,0.24,0.05,0.36
SELRC1,3.73,4.7,-0.17,2.6,3.47,2.33,2.46,0.36,2.75,2.24,0.36
SFMBT1,-0.76,-0.93,-1.27,-0.19,-1.19,-1.09,-1.56,-1.05,-0.99,-1.02,0.36
SNAPIN,1.33,-0.11,0.37,-0.16,0.73,0.03,1.42,-0.49,0.53,0.3,0.36
SPACA3,0.03,-0.09,-0.33,-0.32,-0.03,-0.56,0.16,-0.58,-0.13,-0.27,0.36
TBRG1,-1.06,-0.16,-0.16,-0.74,-0.98,-0.5,-0.28,-0.28,-0.46,-0.55,0.36
TCEANC,-0.26,0.49,0.52,-0.04,-0.21,0.64,-0.56,0.48,0.25,0.06,0.36
TIAM2,-0.34,-1.04,-1.29,-0.72,-0.8,-1.24,-1.06,-0.84,-0.89,-0.93,0.36
TLR10,-0.33,0.41,0.74,0.18,-0.32,0.46,0.12,-0.02,0.27,0.08,0.36
TMEM100,-0.14,-0.17,0.18,0.16,-0.22,-0.22,-0.53,-0.17,-0.04,-0.2,0.36
TMPO,-0.55,0.08,0.12,-0.18,-0.43,0.2,-0.51,-0.38,-0.12,-0.26,0.36
TMPRSS7,-1.34,-0.47,-0.76,-1.13,-0.92,-0.54,-0.62,-1.32,-0.86,-0.9,0.36
TSPAN17,-0.94,-0.28,0.03,-0.63,-1.26,-0.08,0.12,-0.66,-0.4,-0.5,0.36
TYMP,-0.32,0.23,0.47,0.22,-0.24,-0.5,0.46,-0.16,0.13,-0.04,0.36
USP25,-0.63,0.65,-0.94,-0.86,-0.29,-0.09,-0.1,-0.78,-0.31,-0.42,0.36
VPS16,0.85,-0.52,0.63,0.39,0.46,-0.54,0.21,0.09,0.32,0.12,0.36
YWHAH,-0.31,-0.48,0.15,-0.29,-0.51,0.17,-0.62,-0.45,-0.21,-0.34,0.36
ZCCHC17,-0.15,-0.39,-0.57,-0.18,-0.79,0.37,-0.49,-1.31,-0.37,-0.48,0.36
ZCWPW2,0.91,0.52,1.06,0.43,0.68,0.35,0.66,0.71,0.83,0.57,0.36
ZFR2,-1.05,-1.01,-1.09,-1.03,-1.26,-1.18,-1.09,-0.8,-1.05,-1.07,0.36
ZNF106,0.09,-0.31,-1.29,-0.64,-0.85,-0.53,-0.81,-0.13,-0.5,-0.59,0.36
ZNF530,-0.36,0.15,0.11,-0.09,-0.23,0.2,-0.61,-0.2,-0.04,-0.19,0.36
ZNF618,-0.9,-0.55,-0.94,0.04,-0.95,-0.7,-1.78,-0.85,-0.8,-0.85,0.36
ACAD9,0.94,0.29,1.2,1.6,0.77,0.25,-0.23,0.39,0.81,0.55,0.35
AHRR,-0.58,-0.09,0,-0.72,-0.27,-0.01,-0.55,-0.17,-0.22,-0.34,0.35
APITD1,1.17,0.15,-0.01,0.44,0.16,0.37,0.13,0.03,0.43,0.23,0.35
ATOH7,0.25,0.55,-0.5,0.37,-0.29,-0.34,-0.93,0.88,0.1,-0.06,0.35
B3GALT1,-0.15,-0.39,-0.74,-0.37,-0.28,-0.45,-0.77,-0.73,-0.42,-0.52,0.35
BCL7C,0.22,0.05,-0.08,-0.13,0.4,0.01,-0.33,-0.42,0.06,-0.09,0.35
C14orf105,0.82,0.2,-0.08,0.36,-0.03,0.4,-0.02,-0.11,0.31,0.12,0.35
CALN1,-0.53,-0.49,-0.94,-1.02,-0.92,-0.43,-0.3,-0.94,-0.65,-0.72,0.35
CCDC82,-0.83,0.89,-0.23,-0.66,-0.2,-0.13,-0.01,0,-0.06,-0.2,0.35
CCL15,0.87,0.6,0.42,0.49,0.39,0.35,0.23,0.54,0.63,0.4,0.35
CD274,0.38,-0.25,1.05,0.07,-0.01,0.21,0.82,-0.13,0.4,0.19,0.35
CLCA1,-0.75,-0.25,-0.27,-0.17,-0.47,-0.92,-0.87,-0.16,-0.42,-0.52,0.35
CLEC1A,-1.17,-0.45,-0.58,-0.87,-1.02,-0.72,-0.45,-0.89,-0.73,-0.79,0.35
CYFIP2,-0.49,-0.6,-0.61,-0.74,-0.64,-0.78,-0.25,-0.81,-0.57,-0.64,0.35
DIO2,-0.38,0.02,-1.46,-0.85,-0.85,-1.46,0.36,-0.57,-0.6,-0.68,0.35
DNAJC21,1.44,2.69,-0.16,0.22,1.59,0.91,0.84,1.44,1.32,1,0.35
DTNBP1,-0.79,-0.99,-0.66,-0.74,-0.57,-1.08,-0.78,-1.14,-0.82,-0.86,0.35
FAIM,0.14,0.17,0.9,0.26,0.22,0.32,-0.09,0.29,0.4,0.2,0.35
FBXW10,0.04,0.28,-0.31,-0.01,-0.15,0.34,-0.54,-0.38,0,-0.15,0.35
FERMT3,0.81,0.06,0.19,0.67,0.11,-0.66,0.36,0.32,0.36,0.16,0.35
FFAR2,-1.29,0.4,-1.22,-0.75,-0.95,-0.45,-1.03,-0.64,-0.7,-0.76,0.35
FGF23,-0.21,-1.01,0.12,-0.91,0.94,-0.15,-0.97,-1.25,-0.37,-0.47,0.35
FGF5,0.08,0.45,1.04,0.22,0.36,0.41,0.49,0.05,0.52,0.31,0.35
GABRE,-0.82,0,-0.99,-0.57,-0.16,-1.22,-1.26,-0.18,-0.6,-0.67,0.35
GPATCH8,-0.79,-0.52,-0.25,0.32,-1.23,-0.21,-1.04,-0.88,-0.52,-0.61,0.35
GUCY2C,-0.62,-1.09,0.56,-0.66,-0.45,0.14,-0.59,-0.9,-0.39,-0.49,0.35
HILPDA,-0.05,0.12,0.34,-0.18,-0.13,-0.15,0.02,0.27,0.14,-0.03,0.35
HIP1R,-0.27,-0.06,0.03,-0.46,-0.38,0.07,0.05,-0.5,-0.1,-0.24,0.35
IQUB,-0.18,-0.85,-0.23,-0.54,-0.58,-0.4,0.23,-1.29,-0.42,-0.52,0.35
KCNMB4,-0.6,-0.18,-0.55,-0.76,-0.75,-0.45,-0.28,-0.45,-0.44,-0.54,0.35
KCTD21,0.42,-0.13,1.39,0.65,0.01,0.44,0.69,-0.1,0.56,0.34,0.35
KLK4,-0.51,-0.25,-0.5,-0.49,-0.75,-0.46,-0.94,0.07,-0.42,-0.52,0.35
LAT2,-0.18,-0.1,0,-0.63,-0.15,-0.82,0.8,-0.34,-0.09,-0.23,0.35
LUM,-0.58,-0.32,-0.14,-0.49,-0.47,-0.36,-0.98,0.04,-0.35,-0.45,0.35
MAP3K7,-0.52,-0.3,0.19,-0.91,-0.28,-0.91,0.54,-0.12,-0.21,-0.33,0.35
MORC4,-0.98,-0.85,-1.03,-0.98,-0.94,-1.03,-1.3,-0.65,-0.95,-0.98,0.35
MRPL11,1.94,1.87,1.27,1.04,1.83,2.39,0.97,0.4,1.69,1.33,0.35
MYRFL,-0.98,-0.64,-0.43,-0.69,-0.66,-0.79,-1.01,-0.57,-0.68,-0.75,0.35
ODF3B,-0.04,0.4,1.09,0.67,-0.22,0.08,1.1,-0.28,0.48,0.27,0.35
OLFM4,-1.27,-0.75,-0.59,-0.66,-0.84,-1.22,-0.54,-1.29,-0.87,-0.91,0.35
OR12D2,-0.19,-0.49,-0.13,-0.17,-0.33,-0.3,-0.6,-0.53,-0.27,-0.38,0.35
PCSK1N,-0.52,-0.61,-0.96,-0.68,-1.13,-0.6,-0.25,-1.13,-0.7,-0.76,0.35
PITHD1,-0.75,-0.77,0.18,-0.73,-0.72,0.34,-0.95,-0.66,-0.45,-0.54,0.35
PLA2G15,-0.51,-0.3,0.3,-0.3,-0.69,0.16,-0.13,-0.55,-0.17,-0.3,0.35
PRDM11,-0.91,-0.47,-0.34,-0.81,-0.61,-0.38,-0.53,-0.93,-0.57,-0.65,0.35
RHOF,-0.03,-0.57,-0.46,-0.64,-0.83,-0.39,0.53,-0.95,-0.35,-0.46,0.35
RORA,-0.71,-0.13,-0.56,-0.59,-0.55,-0.21,-0.76,-0.68,-0.47,-0.56,0.35
RPRML,0.18,0.08,0.87,0.16,0.29,0.28,0.16,0.01,0.38,0.18,0.35
SDPR,-0.53,-0.21,-1.14,-0.44,-0.32,-0.7,-1.18,-0.85,-0.63,-0.7,0.35
SRCIN1,-0.23,-0.02,-0.01,-0.48,-0.54,0.05,-0.1,-0.03,-0.08,-0.22,0.35
ST6GALNAC5,-0.6,-0.78,-0.99,-0.58,-1.14,-0.49,-1.12,-0.86,-0.79,-0.84,0.35
TAS1R3,-0.53,-0.5,-0.45,-0.61,-0.65,-0.66,-0.56,-0.42,-0.49,-0.58,0.35
THRAP3,0.02,-0.64,0.74,1.06,-0.42,-0.32,0.16,-1.09,0.04,-0.12,0.35
TIFA,-0.46,-0.34,-0.4,-0.48,-0.63,-0.38,-0.68,-0.34,-0.4,-0.5,0.35
TMC2,-0.44,-0.46,-1.12,-0.74,-0.3,-0.97,-0.89,-0.78,-0.67,-0.74,0.35
TMEM151A,-0.04,-0.43,0.42,0.19,-0.41,-0.54,0.69,-0.75,-0.02,-0.16,0.35
TRIM31,-1.29,-0.77,-0.11,-0.22,-0.74,-1.02,-0.88,-1.06,-0.73,-0.78,0.35
TUBA8,-0.2,-0.14,0.12,-0.14,-0.1,-0.55,-0.13,-0.16,-0.08,-0.22,0.35
TUBB1,-0.56,0.41,1.26,-0.15,-0.72,-0.2,1.4,0.54,0.37,0.17,0.35
TVP23C,-0.16,0.82,-0.19,0.49,-0.15,0.43,-0.85,0.01,0.15,-0.02,0.35
VPS13A,0.44,-0.73,-0.94,-0.46,-0.47,-0.52,-1.18,0.11,-0.41,-0.51,0.35
VRK2,-1.2,-1.08,-0.76,-0.82,-1.2,-0.95,-1.02,-1.2,-1.02,-1.04,0.35
VWA1,0.07,0.19,0.37,0.17,0.35,-0.6,0,0.24,0.21,0.03,0.35
ZNF268,-0.09,-0.71,-0.94,-0.66,-0.38,-0.48,-1.4,-0.35,-0.58,-0.65,0.35
ZNF385D,-0.78,-0.69,-0.09,-0.52,-0.43,-0.65,-0.45,-0.95,-0.52,-0.6,0.35
ZNF843,-0.41,-0.72,-0.86,-0.13,-1.06,-0.29,-1.12,-1.06,-0.67,-0.73,0.35
ZSCAN32,0.38,-0.33,-0.68,0.3,-0.18,-0.74,-0.17,-0.88,-0.21,-0.33,0.35
AADACL3,-0.86,-0.41,-0.74,-0.87,0.1,-1.01,-0.9,-0.97,-0.67,-0.73,0.34
ABAT,-1.29,-0.07,-1.14,-0.85,-1.09,-1.14,-0.14,-1.14,-0.83,-0.87,0.34
ACBD3,-1.39,-0.45,0.01,-0.44,-0.67,-0.78,-0.52,-0.99,-0.61,-0.68,0.34
ACER1,-1.05,-0.67,-0.78,-0.69,-0.22,-1.06,-1.03,-1.36,-0.83,-0.87,0.34
ACSM2A,0.11,0.29,0.39,0.34,0.05,0.1,-0.04,-0.04,0.26,0.08,0.34
ADRM1,0.06,0.72,0.89,0.05,1.28,0.47,0.58,-0.68,0.56,0.34,0.34
AHCTF1,0.96,0.15,0.49,0.48,-0.03,0.33,-0.12,0.95,0.53,0.32,0.34
ANAPC13,1.26,1.1,0.52,0.1,1.81,0.47,0.41,0.65,0.96,0.69,0.34
B4GALT1,-0.59,-1.09,-1.05,-1.12,-0.99,-1.06,-0.69,-0.85,-0.91,-0.94,0.34
BTBD2,1.04,-0.75,0.26,-0.85,0.61,-0.29,0.28,0.32,0.18,0.01,0.34
C1orf189,-0.66,-0.2,-0.18,-0.4,-0.56,-0.49,-0.43,-0.35,-0.34,-0.45,0.34
C1orf74,0.47,-0.23,0.2,-0.45,0.24,-0.31,-0.5,0.92,0.14,-0.02,0.34
C5orf52,-0.78,-0.83,0.97,-0.7,0.22,-0.58,-0.41,-0.19,-0.21,-0.33,0.34
C6orf62,-0.9,-0.91,0.07,-0.58,-0.57,-0.45,-0.98,-0.69,-0.58,-0.65,0.34
C7orf62,0.03,-0.77,0.52,-0.23,-0.91,0.93,-0.29,-0.56,-0.07,-0.21,0.34
C7orf65,0.61,0.14,0.07,0.22,0.16,0.17,-0.09,-0.02,0.27,0.09,0.34
C8orf4,0.54,0.52,0.27,0.08,0.23,0,0.42,0.47,0.44,0.24,0.34
CACHD1,-0.58,-0.39,-1.59,-0.88,-1.07,-0.38,-1.36,-0.75,-0.85,-0.89,0.34
CASC1,1.54,-0.74,-1.52,-0.7,-0.83,-0.35,0.82,-0.71,-0.24,-0.35,0.34
CCDC17,0.23,-0.7,0.98,-0.02,0.6,-0.43,0.07,-0.23,0.17,0,0.34
CCDC18,-0.94,-0.65,0.11,-0.54,-1.15,-0.41,-0.49,-0.29,-0.49,-0.58,0.34
CCL20,0.01,-0.3,-0.11,-0.32,-0.42,-0.61,0.3,-0.27,-0.13,-0.26,0.34
CDH6,-0.65,-0.49,-1.04,-0.75,-1.22,-1.01,-0.49,-0.45,-0.73,-0.78,0.34
CLIC1,-0.22,0.29,-0.65,-0.57,-0.54,-0.25,0.28,-0.49,-0.19,-0.32,0.34
CMTM6,0.16,-0.24,0.09,-0.13,-0.11,-0.34,0.14,-0.27,0.01,-0.14,0.34
CRIP1,0.31,0.25,1.04,0.8,0.02,0.13,0.96,-0.32,0.53,0.32,0.34
CTTNBP2,-0.63,-0.54,-1.58,-1.08,-1.06,-0.85,-0.38,-1.35,-0.91,-0.94,0.34
CYP11A1,-0.11,0.87,0.7,0.81,-0.61,0.75,0.25,0.18,0.48,0.28,0.34
CYP7B1,-0.66,-0.53,-1.6,-0.48,-0.59,-1.3,-1.12,-1.3,-0.93,-0.96,0.34
DNAH11,-0.14,-0.79,-0.6,-0.69,-0.1,-1.09,-1.09,0.01,-0.51,-0.59,0.34
DNAJC1,-0.42,-0.81,-0.62,-0.26,-0.77,-0.79,-0.94,-0.68,-0.62,-0.69,0.34
DNAJC30,0.26,-0.03,-0.37,-0.56,0.1,0.05,-0.3,-0.22,-0.05,-0.19,0.34
ELK4,-0.73,0.02,0.69,-0.18,-0.66,-0.13,0.51,-0.32,-0.01,-0.15,0.34
ENDOG,-0.36,-0.16,-0.44,0.12,-0.8,-0.84,0.3,-0.91,-0.32,-0.43,0.34
FCHSD1,0.19,-0.35,0.91,-0.63,0.52,-0.59,1.15,-0.1,0.25,0.07,0.34
FOXP2,-1.06,-1.04,-0.96,-1.19,-0.82,-1.03,-1.14,-1.01,-1.02,-1.04,0.34
HEATR4,-0.47,0.96,-1.33,-0.1,-0.56,-0.19,-0.87,-0.25,-0.28,-0.39,0.34
KCNK9,-0.5,-0.32,-0.47,-0.52,0.33,-0.47,-1.19,-0.74,-0.43,-0.52,0.34
L3MBTL1,0.29,-0.6,0.63,-0.06,-0.09,-0.39,-0.55,0.81,0.1,-0.06,0.34
LRRC14,-0.72,-0.42,0.65,-0.58,-0.91,-0.1,0.64,-0.5,-0.16,-0.29,0.34
LRRC45,-0.43,0.2,0.55,-0.61,0.66,-0.17,-0.63,0.48,0.11,-0.05,0.34
MOS,-0.41,-0.12,0.27,-0.68,-0.31,-0.1,0.34,-0.35,-0.09,-0.22,0.34
MRP63,3.07,3.2,2.72,2.75,2.42,3.84,1.68,1.64,3,2.46,0.34
NEFM,-0.39,-0.92,0.07,-0.52,-0.76,-0.56,0.16,-0.85,-0.41,-0.51,0.34
